date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,month,t2m_mean_anomaly_clim,t2m_mean_ratio_clim,t2m_mean_anomaly_roll,delta_t2m_mean_5d,delta_t2m_mean_10d,precip_mm_sum_anomaly_clim,precip_mm_sum_ratio_clim,precip_mm_sum_anomaly_roll,delta_precip_mm_sum_5d,delta_precip_mm_sum_10d,ndvi_zscore,ndvi_anomaly_roll,delta_ndvi_5d,delta_ndvi_10d,soil_deficit_index,soil_surface_moisture_anomaly_roll,delta_soil_surface_moisture_5d,delta_soil_surface_moisture_10d,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_soc_gkg,soil_ph,soil_bulk_density,soil_data_source,topo_elevation_m,topo_data_source,phen_planting_doy__soybean,phen_flowering_doy__soybean,phen_harvest_doy__soybean,phen_planting_doy__vegetables,phen_flowering_doy__vegetables,phen_harvest_doy__vegetables
2019-06-16,0.0,16.020487581421953,76.40666695547412,0.6334400271839278,32.3,32.3,23.7,6,-0.4383333333333326,0.9866110064654076,-0.7466666666666697,4.299999999999997,0.09999999999999432,-3.8188751477423675,0.0,-4.743994528897758,-1.7051498253624997,-1.1577502147111938,1.1722731917636333,-0.0008192212243570696,0.0,0.002847417603503044,0,1.556985501336742,1.1123333451042416,3.964902418821815,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-17,24.954736543693524,14.382961752433586,77.24864779280792,0.6334400271839278,30.9,30.9,22.4,6,-1.8383333333333312,0.9438476811077738,-2.1300000000000026,0.1999999999999993,-2.3000000000000043,21.135861395951157,6.534577742989634,20.210742014795766,22.09099255195507,24.954736543693524,1.1722731917636333,-0.0012488244455555186,0.0,0.002847417603503044,0,-0.40304966494709227,1.951983201924289,3.879874816809396,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-18,0.0,12.745435923445216,78.09062863014171,0.6334400271839278,33.8,33.8,22.1,6,1.0616666666666674,1.0324288550628722,0.8533333333333317,2.1999999999999957,-0.4000000000000057,-3.8188751477423675,0.0,-4.743994528897758,-0.0775169279881179,0.0,1.1722731917636333,-0.0016784276667538567,0.0,0.002847417603503044,0,-2.28413399279132,2.7916330587443365,-0.05173200767961994,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-19,0.0,11.107910094456848,78.9326094674755,0.6334400271839278,36.9,36.9,25.2,6,4.161666666666669,1.1271190754976328,4.079999999999998,2.6999999999999957,-0.30000000000000426,-3.8188751477423675,0.0,-5.063951291418377,0.0,0.0,1.1722731917636333,-0.0021080308879521947,0.0,0.002847417603503044,0,-4.086267482195938,-0.8681210091510554,-3.9833388321686343,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-20,0.0,12.801305264856769,79.81123380338313,0.6334400271839278,37.0,37.0,26.0,6,4.26166666666667,1.130173598737464,4.176666666666662,1.3999999999999986,2.5,-3.8188751477423675,0.0,-4.881590112760916,-0.2307812189738664,-39.22153841489589,1.1722731917636333,-0.002537634109150644,0.0,0.0,0,-2.478529133772657,-1.1969540776581589,-4.58402465726936,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-21,0.0,14.494700435256684,80.68985813929075,0.6334400271839278,36.7,36.7,26.2,6,3.961666666666673,1.121010029017971,3.7366666666666646,4.400000000000006,8.700000000000003,-3.8188751477423675,0.0,-4.881590112760916,0.0,-1.7051498253624997,1.1722731917636333,-0.002967237330349093,0.0,0.0,0,-0.8651905147583623,-1.5257871461652694,-0.4134538010610278,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-22,0.5647503027459982,16.188095605656603,81.56848247519838,0.6334400271839278,33.4,33.4,26.2,6,0.6616666666666688,1.0202107621035483,0.39000000000000057,2.5,2.6999999999999993,-3.2541248449963693,0.14788393987686815,-4.278248136191212,-24.389986240947525,-2.29899368899246,1.1722731917636333,-0.003396840551547431,0.0,0.0,0,0.7537483748469622,1.8051338532230172,3.7571170551473063,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-23,0.0,16.79857133874969,90.66514743121088,0.6334400271839278,32.5,32.5,24.1,6,-0.23833333333332973,0.9927200529450696,-0.5433333333333294,-1.2999999999999972,0.8999999999999986,-3.8188751477423675,0.0,-4.84299843893721,0.0,-0.0775169279881179,1.1722731917636333,-0.003826443772745658,0.0,0.0,0,1.2953680977364783,4.053135415304473,6.844768474048809,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-24,24.80394920666497,17.409047071842775,99.76181238722336,0.6334400271839278,32.6,32.6,23.2,6,-0.1383333333333283,0.9957745761849006,-0.45666666666666345,-4.299999999999997,-1.6000000000000014,20.985074058922603,6.49509299127742,19.96095076772776,24.80394920666497,24.80394920666497,1.1722731917636333,-0.004256046993943996,0.0,0.0,0,1.915762468708314,6.3011369773859265,5.433015968234871,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-25,0.0,18.01952280493586,108.85847734323588,0.6334400271839278,31.9,31.9,20.7,6,-0.8383333333333312,0.9743929135060837,-1.0733333333333377,-5.100000000000001,-3.700000000000003,-3.8188751477423675,0.0,-5.035155101853287,0.0,-0.2307812189738664,1.1722731917636333,-0.004685650215142445,0.0,0.0,0,2.6149314877624743,5.218217540079092,4.021263462420933,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
