date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,t2m_mean,t2m_max,t2m_min,precip_mm_sum_lag7,precip_mm_sum_lag14,soil_surface_moisture_lag7,soil_surface_moisture_lag14,soil_rootzone_moisture_lag7,soil_rootzone_moisture_lag14,t2m_mean_lag7,t2m_mean_lag14,t2m_max_lag7,t2m_max_lag14,t2m_min_lag7,t2m_min_lag14,precip_mm_sum_lag7,soil_surface_moisture_lag7,soil_rootzone_moisture_lag7,t2m_mean_lag7,t2m_max_lag7,t2m_min_lag7,precip_mm_sum_lag14,soil_surface_moisture_lag14,soil_rootzone_moisture_lag14,t2m_mean_lag14,t2m_max_lag14,t2m_min_lag14,ndvi_delta,ndvi,ndvi_anomaly
2019-07-27,0.0,3.929905505211256,34.006983196761134,35.3,35.3,23.7,0.0,0.0,6.113302462730929,9.981727280318092,53.36064007060831,78.93397210123214,37.4,35.7,37.4,35.7,25.4,25.2,0.0,6.113302462730929,53.36064007060831,37.4,37.4,25.4,0.0,9.981727280318092,78.93397210123214,35.7,35.7,25.2,-0.03889017143608442,0.5695803237608629,-0.919667451815369
2019-07-28,0.0,3.5948138009137263,31.6123413298094,34.4,34.4,25.2,0.0,0.0,5.790564402991529,9.312093101704694,50.04662926717144,75.38772893484072,36.9,35.0,36.9,35.0,24.3,26.5,0.0,5.790564402991529,50.04662926717144,36.9,36.9,24.3,0.0,9.312093101704694,75.38772893484072,35.0,35.0,26.5,0.0,0.5306901523247785,-1.7834952060940898
2019-07-29,0.0,3.4103388486361657,29.642020232047518,36.1,36.1,25.7,0.0,0.0,5.467826343252128,8.642458923091297,46.73261846373457,71.84148576844932,35.6,34.7,35.6,34.7,26.2,25.3,0.0,5.467826343252128,46.73261846373457,35.6,35.6,26.2,0.0,8.642458923091297,71.84148576844932,34.7,34.7,25.3,0.0,0.5306901523247785,-1.6403528063137096
2019-07-30,0.0,3.225863896358605,27.671699134285625,37.2,37.2,25.9,0.0,0.1991246098250971,5.178580533436857,7.972824744477899,44.08716795271124,68.2952426020579,35.4,35.9,35.4,35.9,24.4,26.0,0.0,5.178580533436857,44.08716795271124,35.4,35.4,24.4,0.1991246098250971,7.972824744477899,68.2952426020579,35.9,35.9,26.0,0.0,0.5306901523247785,-1.5191630224415165
2019-07-31,0.0,3.041388944081045,25.70137803652374,37.0,37.0,26.0,0.0,0.0,4.889334723621586,7.460563337142043,41.44171744168792,64.42171202605365,32.6,36.0,32.6,36.0,23.6,25.7,0.0,4.889334723621586,41.44171744168792,32.6,32.6,23.6,0.0,7.460563337142043,64.42171202605365,36.0,36.0,25.7,0.0,0.5306901523247785,-1.4146531451973836
2019-08-01,0.0,2.978114977554077,24.27409150670809,36.6,36.6,26.2,0.0,0.0,4.600088913806315,6.9483019298061865,38.79626693066459,60.54818145004942,32.8,37.3,32.8,37.3,19.4,25.1,0.0,4.600088913806315,38.79626693066459,32.8,32.8,19.4,0.0,6.9483019298061865,60.54818145004942,37.3,37.3,25.1,0.0,0.5306901523247785,-1.3232928797334493
2019-08-02,0.0,2.914841011027109,22.84680497689244,36.8,36.8,26.5,0.0,0.0,4.264997209508785,6.43604052247033,36.40162506371286,56.674650874045184,33.6,37.2,33.6,37.2,21.8,25.1,0.0,4.264997209508785,36.40162506371286,33.6,33.6,21.8,0.0,6.43604052247033,56.674650874045184,37.2,37.2,25.1,0.0,0.5306901523247785,-1.242684529690661
2019-08-03,0.0,2.851567044500141,21.419518447076783,34.9,34.9,27.5,0.0,0.0,3.929905505211256,6.113302462730929,34.006983196761134,53.36064007060831,35.3,37.4,35.3,37.4,23.7,25.4,0.0,3.929905505211256,34.006983196761134,35.3,35.3,23.7,0.0,6.113302462730929,53.36064007060831,37.4,37.4,25.4,0.0,0.5306901523247785,-1.1712379212489727
2019-08-04,1.7555803760588329,2.6586714970971115,20.24970172273761,34.1,34.1,27.0,0.0,0.0,3.5948138009137263,5.790564402991529,31.6123413298094,50.04662926717144,34.4,36.9,34.4,36.9,25.2,24.3,0.0,3.5948138009137263,31.6123413298094,34.4,34.4,25.2,0.0,5.790564402991529,50.04662926717144,36.9,36.9,24.3,0.0,0.5306901523247785,-1.1080216644388319
2019-08-05,0.0,2.4657759496940823,19.07988499839843,35.2,35.2,26.0,0.0,0.0,3.4103388486361657,5.467826343252128,29.642020232047518,46.73261846373457,36.1,35.6,36.1,35.6,25.7,26.2,0.0,3.4103388486361657,29.642020232047518,36.1,36.1,25.7,0.0,5.467826343252128,46.73261846373457,35.6,35.6,26.2,0.0,0.5306901523247785,-1.052763099904341
2019-08-06,0.0,2.2728804022910527,17.910068274059256,37.4,37.4,26.4,0.0,0.0,3.225863896358605,5.178580533436857,27.671699134285625,44.08716795271124,37.2,35.4,37.2,35.4,25.9,24.4,0.0,3.225863896358605,27.671699134285625,37.2,37.2,25.9,0.0,5.178580533436857,44.08716795271124,35.4,35.4,24.4,-0.022220080710879886,0.5306901523247785,-1.0060470158968193
2019-08-07,0.0,2.219371731801373,16.88251132154911,38.1,38.1,26.2,0.0,0.0,3.041388944081045,4.889334723621586,25.70137803652374,41.44171744168792,37.0,32.6,37.0,32.6,26.0,23.6,0.0,3.041388944081045,25.70137803652374,37.0,37.0,26.0,0.0,4.889334723621586,41.44171744168792,32.6,32.6,23.6,-0.022220080710879886,0.5306901523247785,-0.9699209469097492
2019-08-08,0.0,2.165863061311693,15.854954369038966,38.8,38.8,26.9,0.0,0.0,2.978114977554077,4.600088913806315,24.27409150670809,38.79626693066459,36.6,32.8,36.6,32.8,26.2,19.4,0.0,2.978114977554077,24.27409150670809,36.6,36.6,26.2,0.0,4.600088913806315,38.79626693066459,32.8,32.8,19.4,-0.022220080710879886,0.5306901523247785,-0.9496230334026105
2019-08-09,0.0,2.1123543908220133,14.82739741652882,39.8,39.8,27.2,0.0,0.0,2.914841011027109,4.264997209508785,22.84680497689244,36.40162506371286,36.8,33.6,36.8,33.6,26.5,21.8,0.0,2.914841011027109,22.84680497689244,36.8,36.8,26.5,0.0,4.264997209508785,36.40162506371286,33.6,33.6,21.8,-0.022220080710879886,0.5306901523247785,-0.9594059671371186
