date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,precip_mm_sum_anomaly,soil_surface_moisture_anomaly,soil_rootzone_moisture_anomaly,ndvi_anomaly,t2m_mean_anomaly,t2m_max_anomaly,t2m_min_anomaly
2019-01-16,0.0,20.67667686484373,126.0756620760012,0.4669004295012314,14.7,14.7,7.2,-0.4066820260009661,-1.2819862296246325,-1.3249657657138587,,-0.1789424891742295,-0.1789424891742295,-0.00465706747707373
2019-01-17,0.0,20.091834436997484,124.84774949998628,0.4669004295012314,21.0,21.0,11.3,-0.3924787328137176,-1.5552375442591384,-1.42817291153448,,1.028494256578526,1.028494256578526,0.8952666700098865
2019-01-18,0.0,19.79157893343569,123.10343559325555,0.4669004295012314,19.4,19.4,10.9,-0.3796757434869866,-1.5854542975404788,-1.588256497214273,,0.674512795662293,0.674512795662293,0.7639818974911262
2019-01-19,0.0,19.4913234298739,121.35912168652484,0.4669004295012314,17.9,17.9,7.4,-0.36805594185918383,-1.6084493459885367,-1.7011212562155436,,0.3546297999728429,0.3546297999728429,-0.06378025167983306
2019-01-20,0.0,19.19106792631211,119.61480777979412,0.4669004295012314,11.1,11.1,0.4,-0.3574467974721555,-1.6261117042592776,-1.7774455511834981,,-1.0225608939079203,-1.0225608939079203,-1.5948472513309013
2019-01-21,0.0,19.699647261480187,118.73054197351225,0.4669004295012314,17.6,17.6,2.2,-0.3477092023871548,-1.212049238266121,-1.7202726527707826,,0.33774588697038116,0.33774588697038116,-1.1094268607969042
2019-01-22,0.1129216894724767,20.20822659664827,117.84627616723036,0.4669004295012314,21.5,21.5,13.9,-0.32885967842291275,-0.8497830182046222,-1.6788090001015337,,1.1142399021820504,1.1142399021820504,1.4561191684137071
2019-01-23,10.34776011986838,20.71680593181635,116.96201036094848,0.4669004295012314,17.2,17.2,2.7,0.5971853296976046,-0.5075957271962446,-1.6482402891138723,,0.18928445115026984,0.18928445115026984,-0.9870971420708632
2019-01-24,0.0,21.53309518540824,117.79091103253734,0.4669004295012314,14.7,14.7,0.7,-0.3640216481136789,0.026926328935221358,-1.4230313695339734,,-0.35009981698974546,-0.35009981698974546,-1.3404504524274907
2019-01-25,0.0,22.34938443900013,118.6198117041262,0.4669004295012314,12.2,12.2,4.2,-0.3556694389463644,0.5590366234263572,-1.235496455750476,,-0.8753604628864475,-0.8753604628864475,-0.5631888384882644
2019-01-26,0.0,23.16567369259202,119.44871237571505,0.4669004295012314,15.4,15.4,5.3,-0.34786918345517354,1.0661505641540374,-1.0715467380106636,,-0.15324393008104106,-0.15324393008104106,-0.31337709830915556
2019-01-27,0.0,21.78962215165426,119.0532447864376,0.4669004295012314,17.2,17.2,6.9,-0.34056244577497147,0.1301076391969438,-1.0779311919922336,,0.25450620835921484,0.25450620835921484,0.04595188415893128
2019-01-28,0.2705365680218515,20.413570610716494,118.65777719716016,0.4669004295012314,19.7,19.7,7.7,-0.30698591972183636,-0.7972417505414464,-1.085289716119972,,0.813035828625279,0.813035828625279,0.22540237563896418
2019-01-29,0.0,19.03751906977874,118.26230960788271,0.4669004295012314,19.5,19.5,2.2,-0.3283555135556326,-1.6347166575780445,-1.0934458486953802,,0.7446348023512557,0.7446348023512557,-1.0224074432093664
2019-01-30,0.0,18.777661311875324,116.75199892608444,0.4669004295012314,12.1,12.1,3.1,-0.3222299253625356,-1.6833574733204193,-1.2398299814511031,,-0.976027936290386,-0.976027936290386,-0.7892169492676526
2019-01-31,0.0,18.517803553971905,115.24168824428617,0.4669004295012314,16.1,16.1,8.4,-0.3164357810299193,-1.7226246172042283,-1.3707615700164044,,-0.026559934930615682,-0.026559934930615682,0.44843151163439876
2019-02-01,0.0,18.25794579606849,113.73137756248788,0.4669004295012314,19.0,19.0,12.9,-0.29148434170637333,-1.8415775348912906,-1.4926691378802988,,0.6338390437512744,0.6338390437512744,1.4079032041398638
2019-02-02,0.0,17.749928111906442,111.8907208892405,0.4622944494643496,18.3,18.3,13.5,-0.2665499254929867,-2.0421027946886023,-1.6521052599529984,-5.294651389216591,0.399863135251707,0.399863135251707,1.4298330210342858
