date,precip_mm_sum
2020-03-20,9.211789903936491
2020-03-21,14.93088615647477
2020-03-22,1.199399922216479
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,2.0341209310271897
2020-03-29,2.5134556773538708
2020-03-30,1.9042183233168037
2020-03-31,0.976939544027022
2020-04-01,0.0
2020-04-02,0.9492089068831843
2020-04-03,6.481407137724518
2020-04-04,27.502965259400977
2020-04-05,0.9211701411402091
2020-04-06,0.0
2020-04-07,0.2240043024198181
2020-04-08,0.0
2020-04-09,0.1337111013378825
2020-04-10,9.436739028620023
2020-04-11,0.07075207351848023
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,1.0753704441822869
2020-04-18,2.7884883296711407
2020-04-19,6.751577526892776
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.2971268732157316
2020-04-23,0.14576244549194123
2020-04-24,0.0
2020-04-25,2.4360380522683784
2020-04-26,1.0984556062456614
2020-04-27,0.0
2020-04-28,15.498847191476989
2020-04-29,19.36572113103743
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.01226612971799528
2020-05-06,1.577920465621029
2020-05-07,0.0
2020-05-08,0.012720080324270125
2020-05-09,6.954536257183617
2020-05-10,1.8869337712371428
2020-05-11,0.0
2020-05-12,1.0077476350820378
2020-05-13,22.694834327930728
2020-05-14,1.2182623895011124
2020-05-15,6.238409334991906
2020-05-16,31.857450511396816
2020-05-17,0.09831015983985221
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.04108885038065967
2020-05-22,2.717545321337313
2020-05-23,3.006381444462665
2020-05-24,14.818984104810005
2020-05-25,6.14866157784661
2020-05-26,10.250203173563321
2020-05-27,3.6716541753869714
2020-05-28,17.774639094815885
2020-05-29,5.2758474284063865
2020-05-30,0.5710210360000676
