date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,month,t2m_mean_anomaly_clim,t2m_mean_ratio_clim,t2m_mean_anomaly_roll,delta_t2m_mean_5d,delta_t2m_mean_10d,precip_mm_sum_anomaly_clim,precip_mm_sum_ratio_clim,precip_mm_sum_anomaly_roll,delta_precip_mm_sum_5d,delta_precip_mm_sum_10d,ndvi_zscore,ndvi_anomaly_roll,delta_ndvi_5d,delta_ndvi_10d,soil_deficit_index,soil_surface_moisture_anomaly_roll,delta_soil_surface_moisture_5d,delta_soil_surface_moisture_10d,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_soc_gkg,soil_ph,soil_bulk_density,soil_data_source,topo_elevation_m,topo_data_source,phen_planting_doy__arabicacoffee,phen_flowering_doy__arabicacoffee,phen_harvest_doy__arabicacoffee
2019-07-12,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,29.0,29.0,21.3,7,-0.014516129032259073,0.9994996942576019,-0.30666666666666487,-0.6000000000000014,0.6999999999999993,-1.1965664684307125,0.0,-0.7779875510648897,0.0,0.0,-0.6051023217900877,-0.018652908004678004,-0.03730581600935601,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-13,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,29.9,29.9,20.4,7,0.8854838709677395,1.030518650286286,0.49666666666666615,2.0,2.3999999999999986,-1.1965664684307125,0.0,-0.7744307807867156,-1.5902244946422452,0.0,-0.6051023217900877,-0.01740938080436627,-0.03730581600935601,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-14,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,30.1,30.1,20.7,7,1.0854838709677423,1.0374117516259937,0.6933333333333316,2.200000000000003,1.9000000000000021,-1.1965664684307125,0.0,-0.7991969058385303,-4.03438966916256,0.0,-0.6051023217900877,-0.01855277609214856,-0.03730581600935601,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-15,0.4465741715739314,25.39999961853028,137.23440875838287,0.6435031544214094,29.2,29.2,21.5,7,0.18548387096774022,1.0063927955973093,-0.11000000000000298,0.3000000000000007,-0.5,-0.749992296856781,0.37321300851728695,-0.4212193137530643,-11.70524507762744,0.4465741715739314,-0.6051023217900877,-0.01969617137993107,-0.03730581600935601,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-16,0.7518520431204411,25.39999961853028,137.23440875838287,0.6435031544214094,29.5,29.5,21.2,7,0.4854838709677409,1.0167324476068709,0.269999999999996,-1.0,-0.1999999999999993,-0.4447144253102714,0.6283412271334071,-0.13868663659071134,-0.8758181453785135,0.7518520431204411,-0.6051023217900877,-0.02083956666771336,-0.03730581600935601,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-17,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,30.6,30.6,20.6,7,1.5854838709677423,1.0546445049752626,1.4100000000000001,1.6000000000000014,1.0,-1.1965664684307125,0.0,-0.9869164393689592,0.0,0.0,-0.6051023217900877,-0.021982961955495872,0.0,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-18,0.6329413593750625,25.39999961853028,137.23440875838287,0.6435031544214094,29.1,29.1,20.9,7,0.08548387096774235,1.0029462449274558,-0.07666666666666444,-0.7999999999999972,1.2000000000000028,-0.56362510905565,0.5289646468241418,-0.48672185630526943,0.6329413593750625,-0.9572831352671828,-0.6051023217900877,-0.023126357243278384,0.0,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-19,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,29.7,29.7,20.5,7,0.6854838709677402,1.0236255489465784,0.47666666666666657,-0.40000000000000213,1.8000000000000007,-1.1965664684307125,0.0,-1.134372706156595,0.0,-4.03438966916256,-0.6051023217900877,-0.024269752531060673,0.0,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-20,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,30.3,30.3,21.7,7,1.2854838709677416,1.0443048529657013,1.0466666666666669,1.1000000000000014,1.4000000000000021,-1.1965664684307125,0.0,-1.134372706156595,-0.4465741715739314,-12.151819249201372,-0.6051023217900877,-0.025413147818843185,0.0,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-21,0.1987104094780138,25.39999961853028,137.23440875838287,0.6435031544214094,29.9,29.9,21.7,7,0.8854838709677395,1.030518650286286,0.6433333333333344,0.3999999999999986,-0.6000000000000014,-0.9978560589526987,0.16606717196297582,-1.2716287048991548,-0.5531416336424273,-1.4289597790209407,-0.6051023217900877,-0.026556543106625696,0.0,-0.03730581600935601,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-22,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,29.1,29.1,21.4,7,0.08548387096774235,1.0029462449274558,-0.17666666666666586,-1.5,0.10000000000000142,-1.1965664684307125,0.0,-1.4703391143771687,0.0,0.0,-0.6051023217900877,-0.027699938394407986,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-23,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,28.6,28.6,20.8,7,-0.41451612903225765,0.9857134915781867,-0.6799999999999962,-0.5,-1.2999999999999972,-1.1965664684307125,0.0,-1.4703391143771687,-0.6329413593750625,0.0,-0.6051023217900877,-0.028843333682190497,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-24,1.464561981992663,25.39999961853028,137.23440875838287,0.6435031544214094,30.1,30.1,21.5,7,1.0854838709677423,1.0374117516259937,0.7866666666666653,0.40000000000000213,0.0,0.2679955135619505,1.2239704359369392,0.036327816580864924,1.464561981992663,1.464561981992663,-0.6051023217900877,-0.029986728969972787,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-25,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,28.9,28.9,21.1,7,-0.1145161290322605,0.996053143587748,-0.47666666666666657,-1.4000000000000021,-0.3000000000000007,-1.1965664684307125,0.0,-1.2937545097730458,0.0,-0.4465741715739314,-0.6051023217900877,-0.03113012425775541,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-26,0.0912423835791942,25.39999961853028,137.23440875838287,0.6435031544214094,28.7,28.7,20.9,7,-0.3145161290322598,0.9891600422480404,-0.6600000000000001,-1.1999999999999993,-0.8000000000000007,-1.1053240848515182,0.0762535019879488,-0.7974514845538061,-0.1074680258988196,-0.6606096595412468,-0.6051023217900877,-0.03227351954553781,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-27,0.0,25.39999961853028,137.23440875838287,0.6435031544214094,31.2,31.2,21.9,7,2.18548387096774,1.0753238089943853,1.8566666666666691,2.099999999999998,0.5999999999999979,-1.1965664684307125,0.0,-0.8344381951830351,0.0,0.0,-0.6051023217900877,-0.0334169148333201,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-28,0.7429837515544454,25.39999961853028,137.23440875838287,0.7151108290642384,29.7,29.7,21.1,7,0.6854838709677402,1.0236255489465784,0.3299999999999983,1.0999999999999979,0.5999999999999979,-0.45358271687626706,0.6209297779578119,-0.09145444362858968,0.7429837515544454,0.11004239217938294,0.4147607505012883,0.03580383732141457,0.07160767464282902,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-29,2.3008348576309925,25.39999961853028,137.23440875838287,0.7151108290642384,27.0,27.0,22.7,7,-2.014516129032259,0.9305686808605258,-2.34,-3.1000000000000014,-2.6999999999999993,1.10426838920028,1.922864227215492,1.4663966624479574,0.8362728756383295,2.3008348576309925,0.4147607505012883,0.03341691483332021,0.07160767464282902,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-07-30,0.6823558315246987,25.39999961853028,137.23440875838287,0.7151108290642384,28.5,28.5,20.9,7,-0.5145161290322591,0.9822669409083329,-0.8200000000000003,-0.3999999999999986,-1.8000000000000007,-0.5142106369060138,0.5702615354244408,-0.15208236365833638,0.6823558315246987,0.6823558315246987,0.4147607505012883,0.03154292348403909,0.07160767464282902,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
