date,precip_mm_sum,soil_rootzone_moisture,soil_surface_moisture,t2m_max,t2m_mean,t2m_min
2020-01-15,6.5173874572870645,137.23440875838287,25.399999618530273,26.7,22.8,20.1
2020-01-16,6.024931987095687,,,28.0,22.9,19.5
2020-01-17,0.0,,,26.7,23.2,21.1
2020-01-18,0.0,137.23440875838287,25.399999618530273,26.9,23.0,20.1
2020-01-19,0.15171607894607483,,,27.3,23.2,19.7
2020-01-20,3.636217212528295,,,25.3,22.6,19.7
2020-01-21,1.5974348073070268,137.23440875838287,25.399999618530273,25.3,22.1,19.4
2020-01-22,5.263762888858662,,,23.7,21.5,19.2
2020-01-23,0.031312431139899975,,,23.5,20.3,17.6
2020-01-24,0.0,137.23440875838287,25.399999618530273,24.6,21.1,17.1
2020-01-25,0.5359245164040503,,,24.4,21.8,18.9
2020-01-26,19.96643786648307,,,24.5,21.8,18.7
2020-01-27,0.0,137.23440875838287,25.399999618530273,24.3,21.6,17.8
2020-01-28,0.0,,,24.4,22.5,20.4
2020-01-29,0.0,,,25.1,22.0,17.9
2020-01-30,0.0,137.23440875838287,25.399999618530273,25.0,22.3,19.1
2020-01-31,0.023928749620560116,,,26.8,22.2,17.4
2020-02-01,0.0,,,27.7,22.1,17.6
2020-02-02,0.0,137.23440875838287,25.399999618530273,25.6,22.4,18.9
2020-02-03,5.1182751918603495,,,26.9,22.2,18.5
2020-02-04,0.0,,,26.6,23.1,20.2
2020-02-05,0.0,137.23440875838287,25.399999618530273,27.1,22.8,18.8
2020-02-06,0.0,,,25.9,21.9,18.6
2020-02-07,0.0,,,26.6,23.6,21.6
2020-02-08,0.0344372362598389,,,28.1,22.7,18.4
2020-02-09,0.0,,,26.5,23.0,18.7
2020-02-10,0.0,,,27.8,23.5,19.2
2020-02-11,1.3827294545870241,,,27.4,23.1,19.6
2020-02-12,0.7480603105061561,,,27.6,22.3,17.5
2020-02-13,0.0,,,28.0,22.6,17.6
2020-02-14,0.0,,,28.1,22.8,18.3
2020-02-15,0.0,,,26.4,21.9,17.9
2020-02-16,0.029908874418033558,,,25.7,22.0,18.4
2020-02-17,0.0,137.23440875838287,25.399999618530273,28.1,22.9,19.1
2020-02-18,2.806752118645164,,,28.7,23.7,20.3
2020-02-19,0.0,,,27.2,23.5,19.3
2020-02-20,0.0,137.23440875838287,25.399999618530273,26.3,22.8,19.3
2020-02-21,0.0,,,25.9,22.0,18.7
2020-02-22,0.0,,,26.0,22.3,18.9
2020-02-23,0.0,137.23440875838287,25.399999618530273,26.3,22.3,19.2
2020-02-24,3.6235954932982475,,,25.2,22.6,20.8
2020-02-25,5.1636566104346135,,,25.3,21.9,19.0
2020-02-26,0.0,137.23440875838287,25.399999618530273,26.3,22.6,19.9
2020-02-27,0.0,,,26.5,22.5,18.7
2020-02-28,0.0,,,26.4,22.7,18.5
2020-02-29,0.5148315337210554,137.23440875838287,25.399999618530273,25.1,22.3,20.5
2020-03-01,2.778574102606391,,,25.6,22.4,20.0
2020-03-02,0.0,,,25.7,22.8,20.9
2020-03-03,0.0,137.23440875838287,25.399999618530273,25.3,22.2,19.2
2020-03-04,0.0,,,27.3,22.7,18.7
2020-03-05,0.0,,,28.0,22.8,18.0
2020-03-06,0.0,137.23440875838287,25.399999618530273,26.1,22.0,18.3
2020-03-07,0.0,,,26.1,22.6,18.3
2020-03-08,0.29796174339076575,,,23.8,21.8,19.9
2020-03-09,10.611408378538616,137.23440875838287,25.399999618530273,24.5,21.6,19.2
2020-03-10,0.0,,,25.7,22.5,19.2
2020-03-11,9.082557698205113,,,25.2,21.5,18.6
2020-03-12,0.0,137.23440875838287,25.399999618530273,25.4,21.3,16.8
2020-03-13,0.0,,,26.7,21.5,16.8
